,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
155,"RT @rosaantifawien: 13:30 Am Stephansplatz noch nicht viel los und Tretgitter noch offen.

ff @nofundis_wien

#nofundis #w1106 #marschfuern…","   :                                                                 .

    _    

#         #      #           …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
163,"Wiener Linien: ""We ride with pride""

Wir erinnern uns: Letztes Jahr hat die Polizei Personen die ihnen queer erschi… https://t.co/dBePjXqFH5","             : ""                  ""

                :                                                             …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
164,"@wolfi232 Um 14 Uhr sammelt sich der ""Marsch für die Familie"" am Stephansplatz.","                                ""        ü             ""                 .",0.0,0.0,neutral,0.0,0.0,0.0,0.0
165,"13:30 Am Stephansplatz noch nicht viel los und Tretgitter noch offen.

ff @nofundis_wien

#nofundis #w1106… https://t.co/VCCB2kPlWO","  :                                                                 .

    _    

#         #     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
166,@LPDWien Welchen Titel (Thema) hat denn die um 14:00 Uhr beim Stephansplatz beginnende Kundgebung von der Sie in Ih… https://t.co/EKTY2supEE,                (     )                   :                                                                 …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
167,"RT @AsjWien: In einer stunde zum Stephansplatz.

Fundis die Hölle heiß machen!

#w1106 https://t.co/kZvDcBy9CD","                                  .

            ö       ß       !

#           :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
168,"Jedes jahr dasselbe elend, am ring pride am stephansplatz schande.","                         ,                                       .",0.0,0.0,neutral,0.0,0.0,0.0,0.0
169,Erster Rechtsextremer mit T-Shirt des Azov-Bataillons samt Wolfsangel am Stephansplatz eingetroffen. #w1106,                           -              -                                                        . #     ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
170,ist #w1106 jetzt direkt am stephansplatz? oder haben wir Treffpunkt woanders????,    #                                   ?                                   ????,0.0,0.0,neutral,0.0,1.0,0.0,0.0
171,"RT @nofundis_wien: Kommt um 13:30 zum Stephansplatz! 
Bringt Sonnenschutz, Sonnencreme und Regenschirme, es wird heiß! Vergesst auch nicht…","            :                    ! 
                   ,                             ,            ß!                    …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
175,"nichts sagt black block, aber als ästhetik mehr als die weißen new balance die ich dazu trage

Ab 13:30 Uhr am Step… https://t.co/ZoZ2uXPiqJ","                       ,          ä                        ß                                 

     :              …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
179,12:35 Zustrom zur Demo am #Stephansplatz hat noch nicht begonnen. Aber ODE zieht schon eine Fahrzeugsperre zum Schu… https://t.co/dRO6akwcZk,  :                       #                                     .                                                  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
181,"Nehme an die ""ordnungsgemäß angemeldete Kundgebung am Stephansplatz"" ist wie immer die Fundi Demo. Hoffe, ihr stört… https://t.co/zj1BtsDJu1","             ""           äß                                        ""                             .      ,       ö  …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
182,"In einer stunde zum Stephansplatz.

Fundis die Hölle heiß machen!

#w1106 https://t.co/kZvDcBy9CD","                                 .

            ö       ß       !

#           :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
