,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
54,"RT @SCMagdeburg: Halbzeit beim letzten Heimspiel der Saison! 🔥

Wir führen mit 1 Tor gegen die Rhein-Neckar Löwen 20:19!

Wir freuen uns na…","                                           ! 🔥

     ü                              -        ö      :  !

                 …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
55,@fiete06 Es muss einfach raus. Mir kamen damals auch die Tränen als wir das FinalFour hier in Hamburg gewonnen habe… https://t.co/PtcHe9ccOZ,                       .                             ä                                                       …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
56,Was für eine großartige Saison vom #SCM #MagdeburgerJungs #gruenrotewand #scmhuja 💚❤️. Feiert schön auf dem Rathaus… https://t.co/KE46yyRXCl,     ü          ß                  #    #                 #              #        💚❤️.           ö                 …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
62,"Halbzeit beim letzten Heimspiel der Saison! 🔥

Wir führen mit 1 Tor gegen die Rhein-Neckar Löwen 20:19!

Wir freuen… https://t.co/XKSqrovxSw","                                          ! 🔥

     ü                              -        ö      :  !

          …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
63,"@HisGurkness @mariefantastie Am 1. Mai, Rathausplatz?","        .    ,             ?",0.0,0.0,neutral,0.0,0.0,0.0,0.0
64,@hansapiIs Schön am Rathausplatz,     ö                 ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
65,"Hätte ja wirklich große Lust, mich in diesem Zustand (gehe mal davon aus, dass ich C-positiv bin) samstags auf den… https://t.co/nKyevkGUi8"," ä                   ß      ,                        (                  ,           -           )                 …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
66,RT @BR24: Seit Anfang Mai sorgt der futuristische #Holz-#Pavillon zur 550-Jahr-Feier der #Augsburg|er #Fuggerei für Furore. Jetzt steht fes…,                                         #    -#                -    -          #        |   #          ü        .                …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
67,Nur noch heute bis 18 Uhr zu besichtigen: der spannende Next500 Pavillion der #Fuggerei #Augsburg auf dem Rathauspl… https://t.co/Y4IEtou5x9,                                        :                                     #         #                          …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
68,"RT @dziedzic_ewa: Wien, Rathausplatz: Kommen Sie, kommen Sie! @ViennaPride #LGBTIQ 🏳️‍🌈🏳️‍⚧️ https://t.co/CzMO0CVh1l","     ,             :           ,           !   #       🏳️‍🌈🏳️‍⚧️      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
69,"@MeerfeeSH @Luettdeern @Andie_antwortet @FrauOskar Die Hörn und der Rathausplatz sind am schlimmsten,  an den ander… https://t.co/G6LTLDpCYO","     _                 ö                                           ,              …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
70,"@MadameK_tweetet HH, Rathausplatz 😃🌞🌞🌞☕☕🙋🏻‍♂️"," _          ,              😃🌞🌞🌞☕☕🙋🏻‍♂️",0.0,0.0,neutral,0.0,1.0,0.0,0.0
71,RT @MichaelBonvalot: Provokation direkt neben der Abschluss-Party der #ViennaPride: Die FPÖ-Jugendtruppe RFJ war zuerst beim rechten Fundi-…,                                       -          #           :       ö-                                              -…,0.0,0.0,neutral,0.0,1.0,0.0,0.0
73,"RT @KollektivC: Trotz Warnung hat die Polizei zwischen der Pride, die mittlerweile  am Rathausplatz angekommen ist, und dem RFJ Keller nich…","                                                 ,                                                 ,                        …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
